match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,CourtSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount,T1st,T2nd,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,15,0,0,1,1,30-15,Adv,3,1,0,,1,2,RF,6w,6*,,6w,6*,0,0,6w,6*,0,1,0,0,6w,6*,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,40-15,0,1,1,0,0,0,,,1,6w,6*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,16,0,0,1,1,40-15,Due,3,1,0,,1,2,RF,5f29f3b3b2n#,,,5f29f3b3b2n#,,0,,5f29f3b3b2n#,,1,,1,0,5,,f29f3b3b2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f3b3b2n,f29f3b3b2,ffbb,4,2,0,40-30,0,1,1,0,0,0,,,4,5 f29 f3 b3 b2n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,17,0,0,1,1,40-30,Adv,3,1,0,,1,2,RF,4#,,,4#,,0,,4#,,1,,0,0,4#,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,GM,1,2,1,0,0,0,,,1,4#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,18,0,0,2,1,0-0,Due,4,1,0,,2,1,MR,4w,5s39f3s3f3b3z3*,,4w,5s39f3s3f3b3z3*,0,0,4w,5s39f3s3f3b3z3*,0,1,0,1,4w,5,s39f3s3f3b3z3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s39f3s3f3b3z3,s39f3s3f3b3z3,sfsfbz,6,2,1,15-0,0,2,1,0,0,0,,,7,4w,5 s39 f3 s3 f3 b3 z3*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,19,0,0,2,1,15-0,Adv,4,1,0,,2,1,MR,4+s3z3b3n@,,,4+s3z3b3n@,,1,,4s3z3b3n@,,1,,1,0,4,,s3z3b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s3z3b3n,s3z3b3,szb,3,2,1,30-0,0,2,1,0,0,0,,,3,4+ s3 z3 b3n@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,20,0,0,2,1,30-0,Due,4,1,0,,2,1,MR,5+b1v3d@,,,5+b1v3d@,,1,,5b1v3d@,,1,,1,0,5,,b1v3d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b1v3d,b1v3,bv,2,1,0,30-15,0,2,1,0,0,0,,,2,5+ b1 v3d@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,21,0,0,2,1,30-15,Adv,4,1,0,,2,1,MR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-15,0,2,1,0,0,0,,,1,4*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,22,0,0,2,1,40-15,Due,4,1,0,,2,1,MR,5d,5d,,5d,5d,0,0,5d,5d,0,0,0,0,5d,5d,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,0,1,0,40-30,0,2,1,0,0,0,,,0,5d,5d,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,23,0,0,2,1,40-30,Adv,4,1,0,,2,1,MR,6f2n#,,,6f2n#,,0,,6f2n#,,1,,1,0,6,,f2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2n,f2,f,1,2,1,GM,2,2,2,0,0,0,,,1,6 f2n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,24,0,0,2,2,0-0,Due,5,1,0,,1,2,RF,6d,6b17*,,6d,6b17*,0,0,6d,6b17*,0,1,0,1,6d,6,b17*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b17,b17,b,1,2,0,0-15,0,2,2,0,0,0,,,2,6d,6 b17*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,25,0,0,2,2,0-15,Adv,5,1,0,,1,2,RF,4n,6f27f+2b1n#,,4n,6f27f+2b1n#,0,0,4n,6f27f+2b1n#,0,1,0,1,4n,6,f27f+2b1n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f27f2b1n,f27f2b1,ffb,3,1,1,15-15,0,2,2,0,0,0,,,3,4n,6 f27 f+2 b1n#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,26,0,0,2,2,15-15,Due,5,1,0,,1,2,RF,6n,6s37b3b1*,,6n,6s37b3b1*,0,0,6n,6s37b3b1*,0,1,0,1,6n,6,s37b3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s37b3b1,s37b3b1,sbb,3,2,0,15-30,0,2,2,0,0,0,,,4,6n,6 s37 b3 b1*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,27,0,0,2,2,15-30,Adv,5,1,0,,1,2,RF,4n,5b29f2f2f2f3d@,,4n,5b29f2f2f2f3d@,0,0,4n,5b29f2f2f2f3d@,0,1,0,1,4n,5,b29f2f2f2f3d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b29f2f2f2f3d,b29f2f2f2f3,bffff,5,1,1,30-30,0,2,2,0,0,0,,,5,4n,5 b29 f2 f2 f2 f3d@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,28,0,0,2,2,30-30,Adv,5,1,0,,1,2,RF,6s27f+3b3v1n@,,,6s27f+3b3v1n@,,0,,6s27f+3b3v1n@,,1,,1,0,6,,s27f+3b3v1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s27f3b3v1n,s27f3b3v1,sfbv,4,2,0,30-40,0,2,2,0,0,0,,,4,6 s27 f+3 b3 v1n@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,29,0,0,2,2,30-40,Adv,5,1,0,,1,2,RF,4b2n#,,,4b2n#,,0,,4b2n#,,1,,1,0,4,,b2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2n,b2,b,1,1,1,40-40,0,2,2,0,0,0,,,1,4 b2n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,30,0,0,2,2,40-40,Due,5,1,0,,1,2,RF,6d,4f29f3s+2f3z1f3w#,,6d,4f29f3s+2f3z1f3w#,0,0,6d,4f29f3s+2f3z1f3w#,0,1,0,1,6d,4,f29f3s+2f3z1f3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f3s2f3z1f3w,f29f3s2f3z1f3,ffsfzf,6,2,0,40-AD,0,2,2,0,0,0,,,6,6d,4 f29 f3 s+2 f3 z1 f3w#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,31,0,0,2,2,40-AD,Adv,5,1,0,,1,2,RF,6r2n#,,,6r2n#,,0,,6r2n#,,1,,1,0,6,,r2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,r2n,r2,r,1,1,1,40-40,0,2,2,0,0,0,,,1,6 r2n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,32,0,0,2,2,40-40,Due,5,1,0,,1,2,RF,4f28f1r2f+1f1n@,,,4f28f1r2f+1f1n@,,0,,4f28f1r2f+1f1n@,,1,,1,0,4,,f28f1r2f+1f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f28f1r2f1f1n,f28f1r2f1f1,ffrff,5,1,1,AD-40,0,2,2,0,0,0,,,5,4 f28 f1 r2 f+1 f1n@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,33,0,0,2,2,AD-40,Adv,5,1,0,,1,2,RF,4w,5b29f1f2b2b3n@,,4w,5b29f1f2b2b3n@,0,0,4w,5b29f1f2b2b3n@,0,1,0,1,4w,5,b29f1f2b2b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b29f1f2b2b3n,b29f1f2b2b3,bffbb,5,1,1,GM,1,3,2,0,0,0,,,5,4w,5 b29 f1 f2 b2 b3n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,34,0,0,3,2,0-0,Due,6,1,0,,2,1,MR,6d,5b29f3b3n#,,6d,5b29f3b3n#,0,0,6d,5b29f3b3n#,0,1,0,1,6d,5,b29f3b3n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b29f3b3n,b29f3b3,bfb,3,2,1,15-0,0,3,2,0,0,0,,,3,6d,5 b29 f3 b3n#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,35,0,0,3,2,15-0,Adv,6,1,0,,2,1,MR,5+s27f-1*,,,5+s27f-1*,,1,,5s27f-1*,,1,,1,0,5,,s27f-1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s27f1,s27f1,sf,2,2,1,30-0,0,3,2,0,0,0,,,3,5+ s27 f-1*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,36,0,0,3,2,30-0,Due,6,1,0,,2,1,MR,5d,6b39s3f3b3b2f3w@,,5d,6b39s3f3b3b2f3w@,0,0,5d,6b39s3f3b3b2f3w@,0,1,0,1,5d,6,b39s3f3b3b2f3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b39s3f3b3b2f3w,b39s3f3b3b2f3,bsfbbf,6,1,0,30-15,0,3,2,0,0,0,,,6,5d,6 b39 s3 f3 b3 b2 f3w@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,37,0,0,3,2,30-15,Adv,6,1,0,,2,1,MR,4n,4b19*,,4n,4b19*,0,0,4n,4b19*,0,1,0,1,4n,4,b19*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b19,b19,b,1,1,0,30-30,0,3,2,0,0,0,,,2,4n,4 b19*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,38,0,0,3,2,30-30,Adv,6,1,0,,2,1,MR,6s37f-1*,,,6s37f-1*,,0,,6s37f-1*,,1,,1,0,6,,s37f-1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s37f1,s37f1,sf,2,2,1,40-30,0,3,2,0,0,0,,,3,6 s37 f-1*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,39,0,0,3,2,40-30,Adv,6,1,0,,2,1,MR,5d,4b3d#,,5d,4b3d#,0,0,5d,4b3d#,0,1,0,1,5d,4,b3d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b3d,b3,b,1,2,1,GM,2,3,3,0,0,0,,,1,5d,4 b3d#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,40,0,0,3,3,0-0,Due,7,1,0,,1,2,RF,5d,6b29f2f1f3b2f2b2f2f1f1*,,5d,6b29f2f1f3b2f2b2f2f1f1*,0,0,5d,6b29f2f1f3b2f2b2f2f1f1*,0,1,0,1,5d,6,b29f2f1f3b2f2b2f2f1f1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b29f2f1f3b2f2b2f2f1f1,b29f2f1f3b2f2b2f2f1f1,bfffbfbfff,10,1,1,15-0,0,3,3,0,0,0,,,11,5d,6 b29 f2 f1 f3 b2 f2 b2 f2 f1 f1*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,41,0,0,3,3,15-0,Adv,7,1,0,,1,2,RF,4d,5f29b1f2f3w@,Raonic correct challenge (2nd serve),4d,5f29b1f2f3w@,0,0,4d,5f29b1f2f3w@,0,1,0,1,4d,5,f29b1f2f3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29b1f2f3w,f29b1f2f3,fbff,4,2,0,15-15,0,3,3,0,0,0,,,4,4d,5 f29 b1 f2 f3w@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,42,0,0,3,3,15-15,Due,7,1,0,,1,2,RF,6s1w#,,,6s1w#,,0,,6s1w#,,1,,1,0,6,,s1w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s1w,s1,s,1,1,1,30-15,0,3,3,0,0,0,,,1,6 s1w#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,43,0,0,3,3,30-15,Adv,7,1,0,,1,2,RF,6f29f2f2b2f3b2f3d@,,,6f29f2f2b2f3b2f3d@,,0,,6f29f2f2b2f3b2f3d@,,1,,1,0,6,,f29f2f2b2f3b2f3d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29f2f2b2f3b2f3d,f29f2f2b2f3b2f3,fffbfbf,7,1,1,40-15,0,3,3,0,0,0,,,7,6 f29 f2 f2 b2 f3 b2 f3d@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,44,0,0,3,3,40-15,Due,7,1,0,,1,2,RF,4n,5f18f2f3s1*,,4n,5f18f2f3s1*,0,0,4n,5f18f2f3s1*,0,1,0,1,4n,5,f18f2f3s1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f18f2f3s1,f18f2f3s1,fffs,4,1,1,GM,1,4,3,0,0,0,,,5,4n,5 f18 f2 f3 s1*,
